,kelimeler,frekanslar
69,,7233.0
10,sokağacikmayasaği,5596.0
18,iptal,1951.0
45,bir,1857.0
23,sokağa,1701.0
84,çıkma,1521.0
238,yasak,1428.0
88,yasağı,1374.0
195,hafta,908.0
86,var,894.0
48,karar,814.0
92,erdoğan,801.0
57,yok,762.0
99,cumhurbaşkanı,659.0
2248,nedcer,603.0
2249,konular,603.0
2250,dünneoldu,603.0
2256,konuşulan,603.0
2251,cemned,603.0
2252,cencem,603.0
2253,twitterda,603.0
2254,adbaanalytics,603.0
2255,survivor,603.0
423,şimdi,582.0
153,etti,535.0
430,virüs,506.0
256,kadar,434.0
400,real,418.0
6,sabah,414.0
78,kararı,414.0
669,tek,397.0
198,dün,390.0
790,içi,385.0
165,kalktı,367.0
511,kalkınca,364.0
40,mi,359.0
292,edildi,337.0
836,abi,337.0
837,gokhanozoguz,329.0
216,dersem,324.0
226,çık,317.0
838,çıkıyomuyuz,314.0
839,çıkmıyomuyuz,314.0
2075,bey,300.0
16,son,300.0
64,haftasonu,297.0
490,fazla,297.0
191,sonu,294.0
161,dünyaçevregünü,284.0
149,yasağını,270.0
